E SUBAYA, All India Anna Dravida Munnetra Kazhagam, 80156
R AVUDAIAPPAN, Dravida Munnetra Kazhagam, 55547
S NAMBIRAJAN, Jharkhand Mukti Morcha, 2971
N BALACHANDRAN, Bharatiya Janata Party, 2688
S SURESHKUMAR, Independent, 1466
CHARLES AMBEDKAR R, Independent, 753
MARIAMMAL @ MUTHUMARI, Bahujan Samaj Party, 497
KUMAR M, Independent, 342
ARUNKUMAR @ ARULKUMAR, Independent, 330
"SUDAROLI" MURUGAN YADAV  S., Indiya Jananayaka Katchi, 214
AVUDAIYAPPAN S, Independent, 156
ESAKKIMUTHU, Independent, 124
ESAKKI G, Independent, 113
ESAKKIRAJ C, Independent, 103