KALAIARASU.M., Pattali Makkal Katchi, 80233
VELU.V.B., Desiya Murpokku Dravida Kazhagam, 52330
DHARMAN.M, Makkal Manadu Katchi, 4696
VELU.K, Independent, 2619
SHANMUGAM.DR.R., Independent, 1962
ALBERT ANBARASU, Indiya Jananayaka Katchi, 1369
RENU.S., Bahujan Samaj Party, 1018
VELU.G, Independent, 671
CHANDRAN.C., Lok Jan Shakti Party, 605
DAKSHINAMOORTHY.T., All India Party for the Protection of Civil  Rights, 599
KALIAPERUMAL.V, Independent, 585
SOUNDAR RAJAN. S., Peoples Party of India(secular), 507