GOKULA INDIRA S, All India Anna Dravida Munnetra Kazhagam, 88954
ARIVAZHAGAN V.K., Indian National Congress, 52364
HARIBABU P.K., Bharatiya Janata Party, 3769
JAYAPRAKASH J, Youth And Students Party, 763
JAWAHAR NESAN L, Independent, 742
MAHALAKSHMI K, Indiya Jananayaka Katchi, 722
UDHAYAKUMAR K, Lok Satta Party, 697
KANNAN S, Bahujan Samaj Party, 614
ALAMUTHU P, Jharkhand Mukti Morcha, 557
KALAIARASAN A, Puratchi Bharatham, 484
SANTHANAKUMAR S.M., Independent, 380
SENTHIL S, Independent, 283
THIRUNAVUKKARASU M, Independent, 265
MANIMARAN P, Independent, 235
GOUTHAMAN C.N.A., Independent, 217
ANBALAGAN M, Independent, 147
VASIGARAN S.A.N., Independent, 130
SAMPATH KUMAR S, Makkal Manadu Katchi, 119
SASIKKUMAR M, Independent, 89
AYYAPPAN C.P., Independent, 77