PALLANISHAMY.K.C, Dravida Munnetra Kazhagam, 72831
SENTHILNATHAN.V, All India Anna Dravida Munnetra Kazhagam, 68290
VIJAYAKUMAR.R, Independent, 1530
JAGADEESAN.N, Independent, 1355
MARIMUTHU.C, Bahujan Samaj Party, 779
RAMASAMY.V, Independent, 370
MOHAMED IQBAL.H, Independent, 326
SHANMUGAM.S, Janata Dal  (United), 180
KANNAN.R, Independent, 161
MURUGANANDAM.L.K, Independent, 139
INDIRAMOORTHY.V, Independent, 106
THIJIENDRAN.R, Independent, 93
SUSINTHARAMOORTHY.P, Independent, 92
MUTHUKUMAR.G, Independent, 91
THIRUKKUMAR.V, Independent, 86
SENTHILKUMAR.N, Independent, 80