ABDUL RAHIM.S, All India Anna Dravida Munnetra Kazhagam, 110102
DHAMOTHARAN.R, Indian National Congress, 66864
JAYARAMAN.B., Independent, 10460
LOGANATHAN.J, Bharatiya Janata Party, 3795
SATHYAMURTHI.C, Bahujan Samaj Party, 1658
BAKTHAVACHALU.D., Jharkhand Mukti Morcha, 1336
JAYARAMU. L, Independent, 1114
JAYARAMAN. V, Independent, 828
RAVIARUMUGAM B, Independent, 585
MULLAITAMILAN.A, Independent, 541
SHANAVASKHAN. J, Independent, 471
PARAMANANTHAM.DR. M., Lok Satta Party, 416
RAGULAN.S, Independent, 391
GOVINDARAJ. P, Independent, 290
AMARAVATHI M, Independent, 277
KOTHANDAN. R. K, Independent, 157
KAMALESH. J, Independent, 148
PRABHU. G, Independent, 105