D. MURUGESAN, Desiya Murpokku Dravida Kazhagam, 83297
V. G. RANGASAMY, Pattali Makkal Katchi, 83006
M. PANNEER SELVAM, Akhila India Jananayaka Makkal Katchi (Dr. Issac), 4124
K. T. RAGHAVAN, Bharatiya Janata Party, 4073
R. MURUGAN, Independent, 3597
S. MUTHAMILSELVAN, Indiya Jananayaka Katchi, 3265
L. DURAIRAJ, Bahujan Samaj Party, 1167
K. SOMASUNDARAM, Puratchi Bharatham, 1040
R. VENKATESAN, Independent, 902
K. AYYANARAPPAN, Independent, 641
M. KUPPAN, Independent, 419
D. MAHADEVAN, Independent, 321
N. GOPALAKRISHNAN, Independent, 283
S. KANAGARAJ, Independent, 271
P. CHITTI BABU, Independent, 271
C. CHANDRAN, Independent, 190