ERAMAKRISHNAN.N, Dravida Munnetra Kazhagam, 80307
MURUGESAN.P, Desiya Murpokku Dravida Kazhagam, 68139
ABBAS MANDHIRI.R, Independent, 6205
PRAKASH.P, Independent, 2478
LOGANDURAI.P, Bharatiya Janata Party, 2431
MURUGESAN.P, Independent, 1637
ANTHONY VEDAMUTHU.A, Indiya Jananayaka Katchi, 980
RAJAMOHAN@SENTHIL R, Lok Satta Party, 929
SARAVANAN.V, Bahujan Samaj Party, 840
ERAVICHANDRAN.M, Independent, 541
RAJMOHAN.N, Peoples Party of India(secular), 381
SIVAKUMAR.G, Independent, 251
KRISHNAKUMAR.P, Independent, 202