VETRIIVEL P, All India Anna Dravida Munnetra Kazhagam, 83777
SEKARBABU P K, Dravida Munnetra Kazhagam, 52522
VINAYAGAM K R, Bharatiya Janata Party, 1300
AROCKIAM S, Indiya Jananayaka Katchi, 678
PRAKASH R, Independent, 529
MARIMUTHU P, Independent, 481
DANIEL S, Independent, 379
PERUMAL S, Bahujan Samaj Party, 252
CHANDRAN M R, Independent, 225
MADHU P, Makkal Manadu Katchi, 204
VENUGOPAL T V, Independent, 178
SASIKUMAR S, Independent, 174
MADHAN S, Independent, 122
VINCENT A, Independent, 94
PRASANNAKUMAR M, Independent, 90
MUTHUSARAVANAN P, Independent, 89
SEKAR M M, Independent, 77
SATHISH C, Independent, 72
SEKAR K, Independent, 72
VEERABADHRAN S, Independent, 69
VIJAYARAJ T K, Independent, 65
ELANGOVAN M, Independent, 61
RAJA B @ RAJA R B, Independent, 58
GIRIJA S P, Independent, 54
RAVI R, Independent, 52
GOKUL G R P, Independent, 50
RAJENDRAN K, Independent, 49
LOGANATHAN S, Independent, 44
RAVINDERABABU G, Independent, 42
GOKULAKRISHNAN V R, Independent, 42
LALLI R, Independent, 41