PATCHAIMAL.K.T, All India Anna Dravida Munnetra Kazhagam, 86903
SURESH RAJAN.N, Dravida Munnetra Kazhagam, 69099
GANDHI.M.R, Bharatiya Janata Party, 20094
VETTI VELAYUTHA PERUMAL.P, Akhil Bharat Hindu Mahasabha, 734
MANIK PRABHU, Independent, 538
RAMANATHAN.K.S, Independent, 532
VASU.S, Independent, 461
RAJESH.K, Independent, 459
SURESH ANANTH.P, Bahujan Samaj Party, 418
VADIVELPILLAI.S, Independent, 198
PATCHAIMAL.Y, Independent, 167
RAMASWAMY.K, Independent, 159
SUNDARANATHAN.Y, Independent, 154
GANDHI.C, Independent, 108
BALAKRISHNAN.S, Independent, 102
SATHASIVAN.R, Independent, 80