PARTHIBAN.S.R., Desiya Murpokku Dravida Kazhagam, 75672
MANI.G.K., Pattali Makkal Katchi, 73078
PADMARAJAN.(DR).K., Independent, 6273
PAKKIAM.(TMT) A., Independent, 2738
SENTHILKUMAR.R., Indiya Jananayaka Katchi, 2487
BALASUBRAMANIAN.P., Bharatiya Janata Party, 2286
PARTHIBAN.S.K., Independent, 1338
MANI.R., Independent, 1254
RANJITH.V., Independent, 1254
MURUGAN.P., Independent, 1110
PARTHIPAN.P., Independent, 672
PARTHEEBAN.G., Independent, 605
PALANI.K., Independent, 473
PALANISAMY.K., Independent, 367