S.MICHAEL RAYAPPAN, Desiya Murpokku Dravida Kazhagam, 67072
P.VELDURAI , Indian National Congress, 45597
N.NALLAKANNU, Jharkhand Mukti Morcha, 6336
M.VIJAYA KUMAR, Independent, 6154
R.SHANTHI RAGAVAN, Bharatiya Janata Party, 5305
JESUPANI VAZHAN, Independent, 2716
D.INIYAN JOHN @ JOHN FELIX, Independent, 1020
S.KINGSLY ISACC JEBARAJ, Indiya Jananayaka Katchi, 733
ALRIN, Independent, 689
M.ARUMUGAM, Independent, 610
S.DUERACK RAJ THILAK, Ambedkar People's Movement, 583
R.MARAGATHAVALLI, Independent, 547
A.ELANCHEZHIAN, Independent, 509
S.MARTHANDAN, Independent, 472
G.BALASUBRAMANIAN, Independent, 351