SENTHAMIZHAN.G, All India Anna Dravida Munnetra Kazhagam, 79856
MAGESH KUMAAR.M, Dravida Munnetra Kazhagam, 67785
KALIDASS.V, Bharatiya Janata Party, 3018
CHANDRASEKAR.S, Makkal Manadu Katchi, 878
PRAGALATHAN.P.M, Bahujan Samaj Party, 481
P.JAGADISH KUMAR, Independent, 381
RAJASEKAR.T, Independent, 288
SUDHAKAR.K, Independent, 252
SRIDHAR.P, Independent, 207
MURALI.R, Independent, 173
PURUSHOTHAMAN.A.N, Independent, 168
BABU. J.A.K, Independent, 153
VELMUGUAN.D, Independent, 137
SIRAJUDEEN.A, Independent, 95
ANAND.S, Independent, 81
MANIMARAN.S, Independent, 77
ANANTHAKUMAR.G, Independent, 76
SATHYANARAYANAN.V, Independent, 63
DELLIBABU. DHA.LO, Independent, 56