KARUPPIAH M V, All India Anna Dravida Munnetra Kazhagam, 86376
ILANSELIYAN M, Pattali Makkal Katchi, 49768
PALANIVELSWAMY S, Bharatiya Janata Party, 2002
VEERAN A, Independent, 1998
VAZHIPIRANTHAL.M, Independent, 975
AANANTHAKUMAR A, Bahujan Samaj Party, 806
KRISHNAVENI N, Independent, 424
PITCHAI K, Independent, 421
REVATHI K, Independent, 349
SAGUNDALADEVI M, Tamilaga Makkal Munnetra Kazhagam, 335
MURUGESAN S, Communist Party of India  (Marxist-Leninist)  (Liberation), 247
MUTHUKRISHNAN P, Independent, 196
SASIKUMAR A, Independent, 181
ALAGARSAMY A, Independent, 136
SATHIAMOORTHY N, Independent, 134