KARUNANIDHI. M, Dravida Munnetra Kazhagam, 109014
RAJENDRAN. M, All India Anna Dravida Munnetra Kazhagam, 58765
SRIRAMACHANDRAN  PN, Independent, 1741
PINGALAN R, Bharatiya Janata Party, 1263
MUTHARASAN. S, Independent, 737
RAMESHKUMAR . R, Indiya Jananayaka Katchi, 357
RAMASAMI @ TRAFFIC RAMASAMI. K.R, Independent, 351
SIVA ELANGO, MAKKAL SAKTHI KATCHI, 281
THOOTHAISELVAM. M, Independent, 255
JAYARAMAN. T, Bahujan Samaj Party, 189
ANBAZHAGAN T, Independent, 111
ANANDARAJ.  S, Independent, 95