KALAIRAJAN V P, All India Anna Dravida Munnetra Kazhagam, 75883
CHELLAKUMAR A, Indian National Congress, 43421
RAVICHANDRAN K, Bharatiya Janata Party, 4575
RAMASWAMY K R (A) TRAFFIC RAMASWAMY, Independent, 1305
SARADA G, Indiya Jananayaka Katchi, 958
SARATHBABU E, Independent, 830
NAGADASS K, Bahujan Samaj Party, 587
NARASIMHAN H, Independent, 387
DEVARAJ G, Independent, 283
PURUSHOTHAMAN G, SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST), 266
PRABAKARAN B, Jharkhand Mukti Morcha, 235
SURESH N, Independent, 178
SELVAKUMAR S, Independent, 178
HARIKRISHNAN N, Independent, 142
KUMAR B, Independent, 126
CHINNADURAI P, Independent, 118
SELVAKUMAR R V, Independent, 109
SRINIVASAN M, Independent, 108
SUBASH BABU M, Independent, 62