ASHOK M.K., All India Anna Dravida Munnetra Kazhagam, 82145
JAYARAMAN M, Pattali Makkal Katchi, 50425
E. SARATHBABU, Independent, 7472
DR. THAMIZHISAI SOUNDARARAJAN, Bharatiya Janata Party, 7048
SENTHIL KUMAR ARUMUGAM, Lok Satta Party, 1225
K.N. SESHADRI, Indiya Jananayaka Katchi, 1036
P. KARNAN, Bahujan Samaj Party, 658
S. JAI SHANKAR, Independent, 596
C.M. VIJAYAKUMAR, Puratchi Bharatham, 435
S. BALAKRISHNAN, Independent, 335
M. ANBALAGAN, Makkal Manadu Katchi, 317
S. KRISHNAMOORTHY, Independent, 291
RAMASAMY R, Ambedkar People's Movement, 244
S. SIVAKUMAR, Independent, 137